Player,Year,Salary
Lonzo Ball,2020,11003782
Josh Richardson,2020,10865952
Norman Powell,2020,10865952
Jeremy Lamb,2020,10500000
DeAndre Jordan,2020,10375678
Joe Ingles,2020,10363637
Zion Williamson,2020,10245480
Paul Millsap,2020,10100000
Rodney Hood,2020,10047450
Deandre Ayton,2020,10018200
Tomas Satoransky,2020,10000000
Jayson Tatum,2020,9897120
Anthony Edwards,2020,9757440
Al-Farouq Aminu,2020,9720900
Dante Exum,2020,9600000
George Hill,2020,9590602
De'Anthony Melton,2020,9571712
Kyle Anderson,2020,9505100
Meyers Leonard,2020,9400000
Tristan Thompson,2020,9258000
Serge Ibaka,2020,9258000
Montrezl Harrell,2020,9258000
Jae Crowder,2020,9258000
Derrick Jones,2020,9258000
Derrick Favors,2020,9258000
Dario Saric,2020,9250000
Ja Morant,2020,9166800
Delon Wright,2020,9000000
Marvin Bagley,2020,8963640
Cedi Osman,2020,8840580
Tyus Jones,2020,8817143
James Wiseman,2020,8730240
Royce O'Neale,2020,8500000
Maxi Kleber,2020,8475000
Thomas Bryant,2020,8333333
RJ Barrett,2020,8231760
Jakob Poeltl,2020,8101852
De'Aaron Fox,2020,8099627
Luka Doncic,2020,8049360
Louis Williams,2020,8000000
Mason Plumlee,2020,8000000
PJ Tucker,2020,7969537
LaMelo Ball,2020,7839960
Seth Curry,2020,7834449
Derrick Rose,2020,7682926
Cristiano Felicio,2020,7529020
Rajon Rondo,2020,7500000
De'Andre Hunter,2020,7422000
Jonathan Isaac,2020,7362565
Doug McDermott,2020,7333333
Robin Lopez,2020,7300000
Jaren Jackson Jr,2020,7257360
JaMychal Green,2020,7199760
Nemanja Bjelica,2020,7150000
Patrick Williams,2020,7068360
Ivica Zubac,2020,7000000
Darius Miller,2020,7000000
Aron Baynes,2020,7000000
Jabari Parker,2020,6930729
Lauri Markkanen,2020,6731508
Darius Garland,2020,6720720
DJ Augustin,2020,6666667
Trae Young,2020,6571800
Chris Boucher,2020,6500000
Juan Hernangomez,2020,6493000
Joakim Noah,2020,6431666
Isaac Okoro,2020,6400920
Frank Ntilikina,2020,6176578
DeMarre Carroll,2020,6119676
Jarrett Culver,2020,6104280
Alec Burks,2020,6000000
Ishmael Smith,2020,6000000
Mo Bamba,2020,5969040
Onyeka Okongwu,2020,5813640
Justin Holiday,2020,5720400
Dennis Smith,2020,5686677
Avery Bradley,2020,5635000
Timofey Mozgov,2020,5573333
Coby White,2020,5572680
Trey Lyles,2020,5500000
Wendell Carter,2020,5448840
Zach Collins,2020,5406255
Malik Monk,2020,5345687
Killian Hayes,2020,5307120
Luke Kennard,2020,5273826
Ryan Anderson,2020,5214583
Donovan Mitchell,2020,5195501
Rodney McGruder,2020,5192307
Bam Adebayo,2020,5115492
Justin Jackson,2020,5109637
Jaxson Hayes,2020,5105160
Ed Davis,2020,5005350
Mike Scott,2020,5005350
Enes Kanter,2020,5005350
Richaun Holmes,2020,5005350
Daniel Theis,2020,5000000
Luol Deng,2020,5000000
Nerlens Noel,2020,5000000
Collin Sexton,2020,4991880
Pat Connaughton,2020,4938273
Obi Toppin,2020,4862040
Kevon Looney,2020,4821429
Kris Dunn,2020,4767000
Garrett Temple,2020,4767000
Josh Jackson,2020,4767000
Elfrid Payton,2020,4767000
Rui Hachimura,2020,4692840
Denzel Valentine,2020,4642800
Kevin Knox,2020,4588680
DJ Wilson,2020,4548280
Deni Avdija,2020,4469160
Cam Reddish,2020,4458000
TJ Leaf,2020,4431423
Mikal Bridges,2020,4359000
Jalen Smith,2020,4245720
Cameron Johnson,2020,4235160
JaVale McGee,2020,4200000
Reggie Bullock,2020,4200000
Shai Gilgeous-Alexander,2020,4141320
John Collins,2020,4137302
Willie Cauley-Stein,2020,4100000
