Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2015,Brandon Jennings,Det,PG,26.0,48,18.1,37.7,19.95,78,0.7304999999999999,148,0.41600000000000004,155,0.32899999999999996,0.2857769661446943,0.4925,6.9,2.0,6.05,3.5,29.049999999999997,0.6,0.14500000000000002,8.05,,,14.3,8344497.0,70000000,0.1192,0,0,0,1,13400546.939399999,74.56789772584612,104.57253906584093
2014,Enes Kanter,Okc,C,22.0,75,29.1,60.599999999999994,24.9,234,0.782,883,0.5345,45,0.5335,0.5212026175436505,0.573,16.25,9.4,17.85,0.8,5.1,0.485,0.41500000000000004,6.699999999999999,,,12.200000000000001,6008106.0,63065000,0.0953,0,1,0,0,10709509.678649012,70.40786932978857,100.15120449473747
2014,Brendan Haywood,Cle,C,35.0,22,5.4,11.3,17.6,13,0.538,30,0.467,0,0.0,0.467,0.49,1.6,1.3,14.0,0.1,2.5,0.09,0.45,4.4,,,21.9,9798000.0,63065000,0.1554,0,1,0,0,17465034.04424007,76.68287444721517,110.03665595239114
2013,Darius Morris,Phi,PG,23.0,27,11.366666666666667,22.099999999999998,17.033333333333335,26,0.5156666666666666,58,0.5176666666666666,38,0.2343333333333333,0.32617228760045924,0.4336666666666667,3.6,1.0666666666666667,5.433333333333334,1.5666666666666667,18.833333333333332,0.49000000000000005,0.0,5.866666666666667,,,19.400000000000002,944923.0,58679000,0.0161,0,0,0,1,1810231.4988667155,50.67870544385255,70.82885891659242
2014,Jabari Brown,Lal,SG,22.0,19,29.9,62.3,18.9,85,0.753,108,0.435,62,0.371,0.34400588235294116,0.547,11.9,1.9,3.5,2.1,10.9,0.63,0.11,4.8,,,13.0,104450.0,63065000,0.0017,0,0,0,1,186183.18084515975,33.6988345025463,44.85902843402187
2018,Anfernee Simons,Por,G,19.84,20,7.0,14.6,24.4,16,0.563,34,0.529,29,0.345,0.36489682539682544,0.535,3.8,0.7,4.9,0.7,13.7,0.05,0.0,7.0,102.2,110.3,13.6,1837800.0,101869000,0.018,0,0,0,1,2028040.4166134938,57.108010792395575,72.43126285030323
2014,Jeff Green,Bos,SF,28.0,78,31.700000000000003,66.0,22.450000000000003,287,0.8325,675,0.47350000000000003,292,0.3335,0.3799728498074455,0.5345,15.350000000000001,4.199999999999999,7.449999999999999,1.7000000000000002,8.7,0.7,0.43,6.05,,,9.0,9200000.0,63065000,0.1459,0,0,1,0,16399092.999286449,75.84690065674218,108.71360106774482
2021,Isaiah Joe,Phi,G,22.72,50,11.2,23.4,15.0,26,0.923,36,0.417,123,0.325,0.22012264150943395,0.51,3.5,1.0,5.0,0.6,8.1,0.24,0.06,4.6,102.7,108.1,8.6,1517981.0,112414000,0.0135,0,0,0,1,1517981.0,55.189183360563185,68.41043572445139
2020,Sekou Doumbouya,Det,F,20.4,56,15.5,32.3,17.8,64,0.703,167,0.485,115,0.226,0.33329787234042557,0.459,5.1,2.6,9.2,0.8,8.0,0.43,0.16,5.7,92.5,105.1,12.4,3449400.0,109140000,0.0316,0,0,1,0,3552875.6789444755,63.86133484778127,80.84571280726351
2016,Jordan Mickey,Bos,PF,22.0,25,5.6,11.8,15.5,14,0.571,33,0.455,1,0.0,0.44161764705882356,0.473,1.5,1.4,13.4,0.3,7.1,0.12,0.24,6.1,,,18.3,1223653.0,94143000,0.013,0,0,1,0,1461136.0201183306,53.095583723311115,67.89639606794381
2015,Dwight Howard,Hou,C,30.0,71,32.1,66.9,18.4,474,0.489,595,0.625,6,0.0,0.6187603993344426,0.603,13.7,11.8,20.2,1.4,7.0,0.97,1.59,7.6,,,17.0,22359364.0,70000000,0.3194,0,1,0,0,35907222.06708571,88.4553882403606,126.31589056962939
2021,Jerami Grant,Det,F,28.03,45,32.7,68.1,25.6,251,0.837,436,0.463,248,0.355,0.35948538011695913,0.553,19.5,4.0,6.7,2.4,12.3,0.96,1.09,7.0,108.4,111.3,9.5,20002500.0,112414000,0.1779,0,0,1,0,20002500.0,86.77330315718848,112.9390140695976
2020,Aron Baynes,Tor,C-F,34.44,53,18.5,38.5,16.2,41,0.707,200,0.535,103,0.262,0.39766666666666667,0.505,6.1,5.2,15.3,0.9,7.0,0.3,0.43,6.6,103.8,103.3,12.5,7000000.0,109140000,0.0641,0,1,1,0,7209987.1724390695,72.3155932279219,92.77628268573942
2019,Seth Curry,Dal,G,29.98,64,24.6,51.3,18.4,97,0.825,253,0.549,321,0.452,0.3683675958188154,0.643,12.4,2.3,4.8,1.9,11.6,0.59,0.14,6.2,122.9,109.2,9.1,7461380.0,109140000,0.0684,0,0,0,1,7685207.726956204,73.12651528719518,93.93021830680979
2015,Nemanja Bjelica,Min,PF,27.0,60,17.9,37.3,12.8,55,0.727,110,0.564,125,0.384,0.3661276595744681,0.594,5.1,3.5,11.3,1.4,11.4,0.43,0.35,6.5,,,15.299999999999999,3950000.0,70000000,0.0564,0,0,1,0,6343361.428571428,65.40653323216343,90.50145980557522
2021,Brad Wanamaker,Ind,G,32.66,23,20.200000000000003,42.1,12.850000000000001,25,0.9545,60,0.4,17,0.1175,0.3666493055555555,0.5095000000000001,5.25,2.8,7.35,4.6,27.8,1.115,0.135,7.75,122.2,103.45,11.0,814918.0,112414000,0.0072,0,0,0,1,814918.0,49.33937761360102,60.464003130964
2015,James Harden,Hou,SG,26.0,82,38.1,79.4,32.5,837,0.86,961,0.493,656,0.36,0.36601917130488554,0.598,29.0,6.1,8.9,7.5,35.4,1.68,0.62,11.5,,,15.9,15719062.0,70000000,0.2246,0,0,0,1,25243466.22382857,83.235753504503,118.08870420568104
2018,Damion Lee,Gol,G,26.47,32,11.7,24.4,16.8,22,0.864,59,0.492,68,0.397,0.3348503937007874,0.578,4.9,2.0,9.1,0.4,4.5,0.41,0.0,5.4,111.9,105.9,7.4,77250.0,101869000,0.0008,0,0,0,1,85246.55685242811,31.80730147244916,38.15721093781661
