RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jayson Tatum,Bos,F-G,23.21,64,35.8,74.5,30.8,10.4,340,0.868,833,0.502,485,0.386,0.53,0.576,26.4,7.4,11.5,4.3,20.3,1.17,0.48,2.67,10.5,113.4,109.7
,Jeff Teague,Bos,G,32.93,34,18.1,37.8,17.7,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.1,2.1,16.2,0.76,0.21,1.15,6.4,107.4,110.2
,Jeff Teague,Mil,G,32.93,21,15.9,33.1,17.5,17.9,44,0.864,69,0.507,26,0.385,0.526,0.603,6.6,1.5,4.9,2.8,22.2,0.38,0.24,1.19,7.6,117.8,112.9
,Garrett Temple,Chi,G-F,35.03,56,27.3,56.9,13,12.4,50,0.8,181,0.503,200,0.335,0.503,0.525,7.6,2.8,5.8,2.2,10.5,0.77,0.52,1.02,5.3,105,108.4
,Tyrell Terry,Dal,G,20.63,11,5.1,10.7,15.2,10.4,3,0.333,9,0.556,7,0,0.313,0.318,1,0.5,5.9,0.5,13.9,0.45,0,0.18,4.9,75.1,109.9
,Daniel Theis,Bos,F-C,29.12,42,24.5,50.9,15,11.4,67,0.687,193,0.653,95,0.347,0.609,0.625,9.5,5.2,11.9,1.6,9.3,0.6,1.02,0.98,7,122,103.6
,Daniel Theis,Chi,F,29.12,23,24.9,52,16.8,11.3,43,0.651,121,0.636,57,0.281,0.567,0.584,10,5.9,13.1,1.8,10,0.7,0.61,1.09,7.6,115.7,106.4
,Brodric Thomas,Hou,G,24.3,4,6.1,12.6,24.7,28.4,7,0.714,1,1,6,0.167,0.357,0.496,2.5,1,8.8,1,22.5,0.25,0.25,1,8.9,88.4,96.3
,Brodric Thomas,Cle,G,24.3,28,13.4,27.9,15.8,13.2,39,0.667,48,0.458,53,0.283,0.441,0.487,4.1,1.8,7.3,0.9,9.9,0.5,0.32,0.64,5.6,96.5,108.1
,Isaiah Thomas,Nor,G,32.27,3,16.1,33.5,29.5,17.7,2,1,15,0.4,12,0.25,0.389,0.412,7.7,1.3,4.5,1.7,15,0.33,0,2,6.4,78.1,112.5
,Khyri Thomas,Hou,G,25.02,5,30.6,63.7,21.1,7.9,9,1,39,0.59,27,0.333,0.553,0.586,16.4,3.6,6.3,5,26.9,1.8,1.2,1.2,8.7,122.8,113.3
,Matt Thomas,Tor,G,26.78,26,7.4,15.4,16,8.4,7,0.857,21,0.333,41,0.415,0.524,0.545,2.7,0.8,6,0.3,6.7,0.08,0,0.23,4.7,105.9,114.7
,Matt Thomas,Uta,G,26.78,19,7.1,14.7,24.4,10.5,7,0.857,26,0.615,39,0.256,0.477,0.499,3.6,1.2,9.1,0.5,11.2,0.11,0,0.42,7.3,99.8,106
,Tristan Thompson,Bos,C-F,30.18,54,23.8,49.6,14.8,14.1,120,0.592,323,0.523,3,0,0.518,0.54,7.6,8.1,19,1.2,7.2,0.44,0.61,1.15,7.1,114.5,105.4
,Sindarius Thornwell,Nor,G,26.5,14,5.2,10.9,14.8,15.5,2,0,12,0.333,9,0.333,0.405,0.388,1.2,0.4,3.7,0.3,7,0.36,0.07,0.29,4,76.1,111.8
,Sindarius Thornwell,Orl,G,26.5,7,20.5,42.7,9.2,9.8,6,0.667,11,0.364,14,0.286,0.4,0.434,3.4,1.9,4.7,2.4,16,1,0.14,0.43,4.9,104.3,108.9
,Matisse Thybulle,Phi,G-F,24.2,65,20,41.6,9.4,11.3,18,0.444,100,0.59,143,0.301,0.508,0.508,3.9,1.9,5.3,1,6.3,1.62,1.09,0.49,3.9,103.6,100.2
,Killian Tillie,Mem,F-C,23.2,18,10.1,21,14.8,3.1,11,0.818,24,0.375,33,0.303,0.421,0.461,3.2,1.3,7,0.4,5.6,0.28,0.44,0.11,4.7,103.4,104.9
,Xavier Tillman,Mem,F,22.34,59,18.4,38.3,14.3,12.3,53,0.642,234,0.62,65,0.338,0.595,0.605,6.6,4.3,12.5,1.3,9.4,0.75,0.56,0.76,7.2,117.9,102.6
,Anthony Tolliver,Phi,F,35.96,11,9,18.8,9.8,13.3,6,0.833,3,0,14,0.286,0.353,0.433,1.5,0.9,5.6,0.2,2.5,0.27,0.18,0.27,2.9,90.7,106.3
